time_ms,sample_idx,ecg_v,ecg_ac_v,ppg,lead_off
832873,208167,1.7479,-0.0227,83107,0
832877,208168,1.7342,-0.0367,83523,0
832881,208169,1.7197,-0.0514,83023,0
832885,208170,1.7157,-0.0556,83023,0
832889,208171,1.7092,-0.0622,82951,0
832893,208172,1.6971,-0.0744,82951,0
832897,208173,1.6778,-0.0937,83619,0
832901,208174,1.6738,-0.0977,82922,0
832905,208175,1.6802,-0.0912,83652,0
832909,208176,1.6899,-0.0816,84300,0
832913,208177,1.6826,-0.0889,84300,0
832917,208178,1.6794,-0.0921,83662,0
832921,208179,1.6907,-0.0808,82985,0
832925,208180,1.6923,-0.0792,83778,0
832929,208181,1.6786,-0.093,83021,0
832933,208182,1.6802,-0.0914,83021,0
832937,208183,1.6891,-0.0825,83814,0
832941,208184,1.6963,-0.0752,83104,0
832945,208185,1.6891,-0.0825,83866,0
832949,208186,1.6842,-0.0873,83160,0
832953,208187,1.6899,-0.0817,83160,0
832957,208188,1.7068,-0.0648,83910,0
832961,208189,1.7286,-0.0431,83180,0
832965,208190,1.7511,-0.0208,83963,0
832969,208191,1.785,0.0127,83303,0
832973,208192,1.81,0.0372,83303,0
832977,208193,1.8358,0.0625,83356,0
832981,208194,1.9244,0.1502,83356,0
832985,208195,2.196,0.4197,84047,0
832989,208196,2.5393,0.7597,83434,0
832993,208197,2.644,0.8607,84072,0
832997,208198,2.4804,0.6939,84450,0
833001,208199,2.0767,0.2886,84450,0
833005,208200,1.6641,-0.1239,84041,0
833009,208201,1.4054,-0.3814,83589,0
833013,208202,1.3458,-0.4396,84115,0
833017,208203,1.428,-0.3564,83640,0
833021,208204,1.544,-0.2398,83640,0
833025,208205,1.6029,-0.1806,84150,0
833029,208206,1.6206,-0.1626,83710,0
833033,208207,1.6512,-0.1318,84178,0
833037,208208,1.7084,-0.0746,83726,0
833041,208209,1.7584,-0.0249,83726,0
833045,208210,1.7705,-0.0131,83726,0
833049,208211,1.7495,-0.0342,83692,0
833053,208212,1.7407,-0.0433,84242,0
833057,208213,1.7544,-0.0298,83737,0
833061,208214,1.764,-0.0204,83737,0
833065,208215,1.7576,-0.027,83715,0
833069,208216,1.7592,-0.0256,83715,0
833073,208217,1.7705,-0.0146,84267,0
833077,208218,1.7818,-0.0036,83683,0
833081,208219,1.7801,-0.0055,84277,0
833085,208220,1.7697,-0.0162,83639,0
833089,208221,1.7793,-0.0067,83639,0
833093,208222,1.7914,0.0054,84228,0
833097,208223,1.7987,0.0128,83607,0
833101,208224,1.793,0.0074,84318,0
833105,208225,1.8035,0.018,83554,0
833109,208226,1.814,0.0284,83554,0
833113,208227,1.8204,0.0346,84324,0
833117,208228,1.818,0.032,83521,0
833121,208229,1.818,0.0319,84346,0
833125,208230,1.8293,0.0433,83465,0
833129,208231,1.843,0.0571,83465,0
833133,208232,1.839,0.053,83465,0
833137,208233,1.8349,0.0488,83401,0
833141,208234,1.8551,0.0686,84398,0
833145,208235,1.8672,0.0803,83446,0
833149,208236,1.8664,0.079,83446,0
833153,208237,1.868,0.0802,83454,0
833157,208238,1.8833,0.095,83454,0
833161,208239,1.9018,0.1129,84438,0
833165,208240,1.9067,0.1171,83467,0
833169,208241,1.9099,0.1195,84435,0
833173,208242,1.9252,0.1339,83487,0
833177,208243,1.9534,0.1611,83487,0
833181,208244,1.9736,0.1802,84389,0
833185,208245,1.9703,0.1758,83523,0
833189,208246,1.9792,0.1835,84427,0
833193,208247,2.0034,0.2064,83569,0
833197,208248,2.0187,0.2204,83569,0
833201,208249,2.0259,0.2263,84388,0
833205,208250,2.0308,0.2298,83619,0
833209,208251,2.0477,0.2453,84276,0
833213,208252,2.0509,0.2471,83652,0
833217,208253,2.0485,0.2432,83652,0
833221,208254,2.0429,0.2361,83652,0
833225,208255,2.0509,0.2428,83662,0
833229,208256,2.0558,0.2462,83907,0
833233,208257,2.0388,0.228,83778,0
833237,208258,2.0114,0.1993,83778,0
833241,208259,1.9873,0.1741,83814,0
833245,208260,1.9663,0.1522,83814,0
833249,208261,1.9316,0.1168,83440,0
833253,208262,1.8914,0.0759,83866,0
833257,208263,1.8575,0.0418,83188,0
833261,208264,1.839,0.0232,83910,0
833265,208265,1.8092,-0.0066,83910,0
833269,208266,1.7713,-0.0438,82948,0
833273,208267,1.7358,-0.0774,83963,0
833277,208268,1.7245,-0.0854,82834,0
833281,208269,1.7149,-0.0913,83993,0
833285,208270,1.6996,-0.1034,83993,0
833289,208271,1.681,-0.1201,82729,0
833293,208272,1.677,-0.124,84047,0
833297,208273,1.677,-0.125,82667,0
833301,208274,1.6673,-0.1359,84072,0
833305,208275,1.6568,-0.1473,84072,0
